40 -1,197590030093 -1,46755304987622 -1,77354524305702 -1,95280347022375 -2,77891816339182 -2,94629204456991 -3,00949770222694 -4,0400292241929 -5,26557793151387 -7,33134620907027 -7,40636051887194 -8,99670267016852 -9,22786702530365 -9,83140568443638 -9,8528959187059 -10,6694099035571 -16,2666662591308 -17,0019230813393 -19,6038563143956 -19,8477225263213 -24,9561091269082 -28,7481041375081 -31,0796966666003 -33,4504722442898 -34,1715118836983 -35,3328910173484 -59,4760154436442 -61,0253355019435 -76,4149137376959 -98,5415671120492 -127,388960649885 -425,310256577905 
44 -1,25604302004189 -1,53918262386927 -1,86010994354828 -2,04811755830805 -2,91455395810609 -3,09009716563825 -3,15638781864335 -4,23721839719951 -5,52258472530123 -7,6891807730716 -7,76785644493097 -9,43582136482877 -9,67826858587604 -10,3112652717872 -10,3338044196383 -11,1901715116049 -17,0606235028072 -17,8317673636169 -20,5606979607944 -20,8164670016318 -26,1741880682012 -30,1512659875354 -32,5966608623748 -35,0831512652812 -35,8393840189742 -37,0574487304267 -62,3789712511986 -64,0039118369904 -80,1446376602543 -103,35126749967 -133,606669088798 -446,069160316424 
48 -1,31189414825045 -1,60762381950542 -1,94282147275662 -2,13918902203183 -3,04415232710105 -3,22750122761791 -3,29673955653932 -4,4256302781411 -5,76815162278308 -8,03108739117554 -8,11326145040366 -9,85539399123652 -10,1086218548338 -10,7697653307006 -10,7933067028516 -11,6877529588945 -17,8192400910682 -18,6246735852345 -21,4749486349691 -21,7420906855391 -27,3380478327364 -31,4919702432416 -34,0461018894302 -36,643156414796 -37,4330157655148 -38,7052428641467 -65,1527105780191 -66,8499056674706 -83,7083439678949 -107,946878318357 -139,54761465016 -465,904042932057 
52 -1,36546272165577 -1,67326792249815 -2,02215270143509 -2,22653852679744 -3,16845419826098 -3,35928978438371 -3,43135532197148 -4,60634203810708 -6,00368255645647 -8,35902078047565 -8,44455025304229 -10,2578192914499 -10,5213872083339 -11,2095271555743 -11,2340297925681 -12,1649989723452 -18,5468531169502 -19,3851748767688 -22,3518352068484 -22,6298854686981 -28,4543423325931 -32,7778818557776 -35,4363063587933 -38,1394064109 -38,9615180882759 -40,2856940356867 -67,8130911916599 -69,579587847746 -87,1264067547914 -112,354673171916 -145,24576236192 -484,928302592737 
56 -1,41700763309497 -1,73643218579978 -2,09848703137242 -2,3105882261115 -3,28806031306613 -3,48609975999746 -3,56088570268591 -4,78022704327585 -6,23031582939294 -8,67456581807693 -8,76332394640909 -10,6450421563085 -10,9185595099061 -11,6326760818289 -11,6581036699281 -12,6242160456074 -19,2469790788145 -20,1169466830652 -23,1955956024771 -23,484141995708 -29,5284665341059 -34,0152155380708 -36,7739930228285 -39,5791325159155 -40,4322781226191 -41,8064404452394 -70,3729705090928 -72,2061507239838 -90,4153452581768 -116,59595459731 -150,728650938171 -503,233882097091 
60 -1,46674224738609 -1,79737807133098 -2,17214044061503 -2,39168603499224 -3,40346576863106 -3,60845607120884 -3,68586687626721 -4,9480050726024 -6,44898956653435 -8,97902866995498 -9,07090206116556 -11,0186654547239 -11,3017828131242 -12,0409636905836 -12,0672837447902 -13,0673050601562 -19,922516075509 -20,8230180976645 -24,0097224805536 -24,3083963729153 -30,5648666630697 -35,2090931046444 -38,064699096825 -40,9682943268206 -41,8513839272562 -43,2737770649354 -72,8429448854101 -74,7404666809564 -93,5887736980738 -120,688278939372 -156,018976227851 -520,89655549403 
64 -1,51484487928138 -1,85632408989421 -2,24337700056684 -2,47012271543514 -3,51508433101204 -3,7267974051501 -3,80674694083212 -5,11027766483704 -6,66048778428078 -9,27350093436122 -9,36838736479273 -11,3800287476205 -11,6724310980489 -12,4358538255782 -12,4630370606751 -13,4958546340792 -20,5758861266656 -21,5059206160081 -24,7971347504656 -25,1056038200826 -31,5672585506985 -36,3637949944944 -39,3130521814399 -42,31187244008 -43,2239234575989 -44,6929647733299 -75,2318699813062 -77,1916220648305 -96,6580698465638 -124,646318510567 -161,13570576608 -537,979649206717 
68 -1,56146636092579 -1,91345507450311 -2,3124200828546 -2,54614421599415 -3,62326599492905 -3,84149483667792 -3,92390493176194 -5,26755364708947 -6,86547366318144 -9,55890596790885 -9,65671266168558 -11,7302651372511 -12,0316665812499 -12,8185847169001 -12,8466045542878 -13,9112085410725 -21,2091379602308 -22,1677955689875 -25,560301447211 -25,8782640862777 -32,538785328928 -37,4829419276518 -40,5229666523739 -43,6140798220277 -44,5542004923233 -46,0684536206121 -77,547236586415 -79,5673027965137 -99,632857886428 -128,482484265862 -166,094883732999 -554,536729528007 
72 -1,60673562987837 -1,96892902806622 -2,37946063478812 -2,61996078367068 -3,72830995035178 -3,9528655759351 -4,03766486418531 -5,42026798582864 -7,06451411741265 -9,83603309403991 -9,93667535164096 -12,0703432463104 -12,3804827735446 -13,1902148548666 -13,219047029674 -14,3145154944979 -21,8240229136312 -22,8104734548584 -26,3013332040762 -26,6285140604449 -33,4821338770019 -38,5696290454267 -41,6977886799551 -44,8785178906212 -45,8458940795347 -47,4040476938296 -79,7954481376894 -81,8740791192461 -102,521364967362 -132,20738560314 -170,910225357713 -570,613587141644 
76 -1,6507639359819 -2,02288227857725 -2,44466340943356 -2,69175382368152 -3,83047434422618 -4,06118331802472 -4,14830630467996 -5,56879597861442 -7,25809829159176 -10,1055633564276 -10,2089634467687 -12,4010988213663 -12,7197368954591 -13,5516575255848 -13,5812797692713 -14,7067666266665 -22,422052074984 -23,4355336632468 -27,0220511166601 -27,3581974920771 -34,3996224867787 -39,6265268961578 -42,8404054052595 -46,1082940195731 -47,1021785737527 -48,7030292335421 -81,9820296455262 -84,1176199671452 -105,330689634717 -135,830176517986 -175,593564407612 -586,249731143385 
80 -1,69364806272032 -2,07543342663695 -2,50817173621352 -2,76168115223967 -3,92998375539364 -4,16668616814272 -4,25607246642 -5,71346412123726 -7,44665172447939 -10,3680892393198 -10,4741754936133 -12,7232589327906 -13,0501746989599 -13,9037072561219 -13,9340990368844 -15,0888241881283 -23,0045400382596 -24,0443502080541 -27,7240394746317 -28,0689183789415 -35,2932679913366 -40,6559587637781 -43,953328540348 -47,3061115156594 -48,3258155527195 -49,9682536745846 -84,1117876763132 -86,3028571152168 -108,06700737542 -139,358820667359 -180,15519584768 -601,479533068855 
84 -1,73547283135579 -2,12668641407756 -2,57011122935513 -2,82988107982785 -4,02703500525397 -4,26958280221633 -4,3611765019762 -5,85455855533948 -7,63054735919884 -10,6241299972385 -10,7328360597076 -13,0374607866861 -13,3724497627414 -14,2470603717796 -14,2782026798959 -15,4614438571971 -23,5726389165592 -24,6381272781421 -28,4086867530071 -28,7620824682752 -36,1648379477044 -41,6599607795317 -45,0387593552993 -48,4743395629956 -49,5192252693561 -51,2022235264448 -86,1889347156029 -88,4341127821273 -110,735730400052 -142,800297418062 -184,604142208298 -616,333116208892 

